name,url,id,type,address,label,feature,price,comment1,comment2,comment3,comment_count,lng,lat
海底捞火锅(牡丹园店) 分店,/shop/515381,515381,火锅,海淀区花园东路2号 62033112,其他火锅 北太平庄,滑牛肉 一根面 海底捞牛肉,83,8.6,8.2,9.3,21429,116.37627,39.98398
麻辣诱惑(君太店) 分店,/shop/516112,516112,川菜,西城区西单北大街133号君太百货7楼 82656688,川菜 西单,水煮鱼 毛血旺 酸梅汤,79,8.3,8.4,8.2,21071,116.37948,39.915764
西单翅酷(西单店),/shop/562817,562817,小吃快餐,西城区西单图书大厦东侧钟声胡同15号 66032605,烧烤 西单,微辣鸡翅 原味鸡翅 烤馒头,49,7.5,4.4,4.9,17008,116.38423,39.91588
金钱豹国际美食百汇(王府井店) 分店,/shop/584865,584865,自助餐 海鲜,东城区东安门大街55号王府世纪大厦2楼 65598888,自助餐 婚宴酒店 王府井/东单,三文鱼 提拉米苏 烤鳗鱼,209,7.4,7.7,7.6,16950,116.41426,39.922398
海底捞火锅(西单店) 分店,/shop/2114887,2114887,火锅,西城区西单北大街109号西单婚庆大楼7楼 66174063,其他火锅 西单,滑牛肉 鸳鸯锅底 鸭血,87,8.6,8.4,9.3,16868,116.3802,39.92044
文宇奶酪店,/shop/513701,513701,小吃快餐,东城区南锣鼓巷49号 ,老北京小吃 地安门,红豆双皮奶 原味奶酪 双皮奶,14,8.4,6.8,7.3,14413,116.40941,39.945004
川京办餐厅,/shop/510880,510880,川菜,东城区建国门内大街贡院西街头条5号 65122277-6101,川菜 婚宴酒店 建国门/北京站,口水鸡 毛血旺 川北凉粉,66,8.5,6.7,6.4,13637,116.43736,39.91465
九门小吃,/shop/1924552,1924552,小吃快餐,西城区德内大街孝友胡同1号 ,老北京小吃 什刹海,爆肚 奶酪魏 卤煮,48,6.1,6,5,10928,116.388275,39.9521
姚记炒肝店(鼓楼店) 分店,/shop/513043,513043,小吃快餐,东城区鼓楼东大街311号 84010570,老北京小吃 地安门,炒肝 包子 卤煮,23,8.2,6.3,6.7,10216,116.403206,39.947243
那家小馆(永安里店) 分店,/shop/515445,515445,北京菜,朝阳区建国门外永安里10号 65673663,官府菜 婚宴酒店 国贸,秘制酥皮虾 皇坛子 桂花山药,113,8.5,8.7,8.5,9466,116.45459,39.91283
沸腾鱼乡(知春路店) 分店,/shop/510176,510176,川菜,海淀区知春路17号 82311286,川菜 双榆树 中关村,水煮鱼 馋嘴蛙 毛血旺,87,8.3,7.7,7.5,9168,116.35262,39.98242
护国寺小吃店(护国寺总店) 分店,/shop/509084,509084,小吃快餐,西城区护国寺大街93号 66181705,老北京小吃 新街口,豌豆黄 奶油炸糕 驴打滚,22,8.3,7.2,7.1,9128,116.38118,39.941204
江边城外烤全鱼(交大店) 分店,/shop/516382,516382,川菜,西城区西直门交大东路46号 51562760,烤鱼 西直门/动物园,香辣烤鱼 豆豉烤鱼 麻辣烤鱼,65,8.8,7.7,7.8,8779,116.3555,39.956223
眉州东坡酒楼(中关村店) 分店,/shop/515636,515636,川菜,海淀区中关村大街27号中关村大厦2楼 59683322,川菜 婚宴酒店 中关村,东坡肘子 眉州香肠 夫妻肺片,70,8.4,8.3,8.1,8053,116.32299,39.983425
大董烤鸭店(东四十条店) 分店,/shop/1953784,1953784,北京菜,东城区东四十条甲22号南新仓商务大厦1-2楼 51690329,烤鸭 创意菜 东四,烤鸭 咸水鸭肝 芥末鸭掌,216,8.9,9,8.6,7668,116.43756,39.938866
华天新川面馆(新街口店) 分店,/shop/511011,511011,小吃快餐,西城区新街口南大街14号 83280452,粉面馆 新街口,凉面 麻辣凉面 担担面,16,8.9,6.2,6.6,6934,116.37939,39.946346
全聚德烤鸭店(和平门店) 分店,/shop/508125,508125,北京菜,西城区前门西大街14号楼 83193101,烤鸭 婚宴酒店 菜市口,烤鸭 芥末鸭掌 盐水鸭肝,164,8.4,8.3,8.2,6875,116.39093,39.90552
渝信川菜(西单店) 分店,/shop/510770,510770,川菜,西城区西单北大街111号西单国际大厦7楼 66183918,川菜 婚宴酒店 西单,水煮鱼 川北凉粉 毛血旺,73,8.4,8.1,7.8,6639,116.38026,39.919506
呷哺呷哺(汉光百货店) 分店,/shop/511548,511548,火锅,西城区西单北大街176号汉光百货8楼 ,其他火锅 西单,麻酱小料 金针菇 豆皮,42,8.2,7.3,7.6,6560,116.3813,39.915443
新疆饭庄,/shop/512888,512888,新疆菜,西城区车公庄大街北里1号乌鲁木齐驻京办 68362795,新疆菜 西直门/动物园,自制酸奶 羊肉串 大盘鸡,69,8.8,7.5,7.6,6093,116.355225,39.940605
肯德基 分店,/shop/513343,513343,小吃快餐,多家连锁店 ,快餐/简餐,香辣鸡腿堡 新奥尔良烤翅 葡式蛋挞,29,7.5,7.8,7.7,5478,116.454704,39.961258
金钱豹国际美食百汇(世贸天阶店) 分店,/shop/2078671,2078671,自助餐 海鲜,朝阳区光华路9号世贸天阶中心L402-403号 65538888,自助餐 婚宴酒店 国贸 建外大街,酥皮奶油蘑菇汤 三文鱼 提拉米苏,215,7.4,8,7.8,5475,116.457664,39.922493
